iter	RMSE
0	11917.36709
1	11815.95954
2	11717.62639
3	11619.80942
4	11524.71757
5	11439.62955
6	11356.76629
7	11275.82914
8	11182.95573
9	11096.22753
10	11009.16687
11	10918.56557
12	10827.20143
13	10738.6044
14	10654.18554
15	10573.05259
16	10489.05163
17	10403.18259
18	10322.2756
19	10237.17257
20	10159.45274
21	10082.6001
22	10012.96948
23	9932.015706
24	9869.356852
25	9793.189077
26	9717.91017
27	9644.731366
28	9573.846081
29	9501.690437
30	9426.537981
31	9356.389812
32	9285.983632
33	9229.027157
34	9161.34368
35	9095.06249
36	9026.808507
37	8969.010809
38	8904.58548
39	8847.410305
40	8784.945643
41	8727.919745
42	8667.123434
43	8604.807889
44	8541.425445
45	8478.864713
46	8423.467885
47	8370.998583
48	8314.422171
49	8257.409439
50	8204.131865
51	8149.378765
52	8093.245778
53	8043.449271
54	7990.912684
55	7935.77266
56	7887.849459
57	7841.215975
58	7788.864378
59	7739.001653
60	7687.77189
61	7638.134802
62	7592.636893
63	7550.299271
64	7500.913132
65	7455.497874
66	7413.587803
67	7377.920184
68	7335.237559
69	7290.346564
70	7248.393416
71	7205.921939
72	7166.471188
73	7126.426268
74	7088.943355
75	7049.004099
76	7010.873515
77	6975.140986
78	6936.217344
79	6897.901584
80	6861.314677
81	6824.681185
82	6787.647186
83	6752.396494
84	6717.81743
85	6680.327494
86	6645.263563
87	6614.43302
88	6582.506203
89	6550.408649
90	6519.691532
91	6486.869868
92	6455.4937
93	6423.194451
94	6395.510154
95	6369.508735
96	6340.178643
97	6308.98715
98	6280.677412
99	6252.931142
100	6227.079579
101	6198.479026
102	6169.204519
103	6141.058149
104	6113.442307
105	6088.605839
106	6062.62997
107	6035.469665
108	6012.197504
109	5984.373002
110	5960.167296
111	5936.131173
112	5912.25242
113	5888.019772
114	5864.312507
115	5840.748959
116	5818.879496
117	5797.947436
118	5775.95416
119	5758.123479
120	5737.367487
121	5717.367842
122	5698.380402
123	5677.5436
124	5657.677185
125	5639.196512
126	5620.931257
127	5601.545665
128	5583.543342
129	5564.035358
130	5546.969654
131	5532.042134
132	5514.175629
133	5497.263842
134	5481.522201
135	5467.116154
136	5450.049596
137	5435.175708
138	5417.312745
139	5401.985728
140	5387.857364
141	5372.196667
142	5356.877608
143	5342.154246
144	5326.82456
145	5313.12262
146	5298.543262
147	5282.797608
148	5268.851499
149	5253.584917
150	5240.782002
151	5228.547693
152	5216.044224
153	5202.939744
154	5189.873787
155	5177.442388
156	5165.425949
157	5152.150315
158	5139.279821
159	5128.669857
160	5116.602351
161	5105.915713
162	5094.524204
163	5083.478411
164	5076.014587
165	5064.80852
166	5056.309121
167	5046.003295
168	5036.528203
169	5027.952906
170	5019.912674
171	5011.476326
172	5001.205131
173	4990.95042
174	4982.040847
175	4975.240379
176	4965.361278
177	4955.666991
178	4947.290162
179	4938.948553
180	4929.784907
181	4921.985331
182	4914.589018
183	4905.990489
184	4897.424769
185	4888.857266
186	4880.845117
187	4873.507335
188	4866.279103
189	4859.199968
190	4853.027439
191	4846.913188
192	4840.033102
193	4833.25329
194	4827.422711
195	4820.84394
196	4814.525686
197	4808.634851
198	4802.332705
199	4795.917119
200	4789.079637
201	4783.05774
202	4776.827493
203	4771.632865
204	4765.735942
205	4760.135132
206	4754.602341
207	4750.593435
208	4745.276838
209	4740.308846
210	4734.060745
211	4729.444585
212	4724.046972
213	4719.49589
214	4714.466408
215	4709.674346
216	4703.986005
217	4698.622844
218	4693.869392
219	4688.956119
220	4684.269259
221	4679.957032
222	4675.50077
223	4670.952445
224	4666.319604
225	4662.070283
226	4658.296501
227	4654.388522
228	4649.96727
229	4645.496057
230	4641.32369
231	4636.578374
232	4631.609694
233	4627.660892
234	4623.689129
235	4619.933966
236	4615.170891
237	4612.112357
238	4608.480228
239	4605.116799
240	4601.79255
241	4598.201716
242	4594.937693
243	4591.249361
244	4587.24102
245	4583.812015
246	4580.022496
247	4576.521152
248	4573.227075
249	4570.951608
250	4568.152356
251	4565.467919
252	4562.51886
253	4559.737525
254	4556.925332
255	4553.750912
256	4551.068983
257	4547.9506
258	4545.034369
259	4542.267072
260	4539.372833
261	4536.069127
262	4533.229608
263	4532.01406
264	4528.378658
265	4525.766769
266	4523.128513
267	4520.946333
268	4518.445963
269	4516.435578
270	4514.187341
271	4510.901295
272	4508.321313
273	4505.528179
274	4503.324343
275	4501.109372
276	4499.207171
277	4496.626966
278	4494.265624
279	4491.825001
280	4489.318976
281	4487.187496
282	4485.237128
283	4482.964633
284	4480.656421
285	4478.920961
286	4476.632384
287	4474.267463
288	4472.302016
289	4470.405386
290	4468.810212
291	4466.844202
292	4465.147663
293	4462.92545
294	4460.897516
295	4458.758482
296	4457.054435
297	4455.064708
298	4453.950865
299	4452.808018
300	4450.404901
301	4448.602588
302	4447.013731
303	4445.310816
304	4443.154716
305	4441.646728
306	4439.864159
307	4438.20991
308	4436.520435
309	4435.067289
310	4433.066161
311	4431.407507
312	4429.436156
313	4428.284932
314	4426.664949
315	4424.860425
316	4423.260909
317	4421.769935
318	4420.005839
319	4418.773971
320	4417.491463
321	4416.165926
322	4414.955165
323	4413.596554
324	4412.024162
325	4410.585024
326	4409.117183
327	4407.410922
328	4405.723887
329	4404.625262
330	4402.905691
331	4401.638227
332	4399.601298
333	4398.771866
334	4397.912496
335	4397.39715
336	4395.871197
337	4394.527451
338	4393.313602
339	4392.223699
340	4391.055249
341	4389.566021
342	4388.413773
343	4387.580315
344	4386.208734
345	4385.142539
346	4384.063378
347	4383.218158
348	4382.050336
349	4381.427142
350	4380.102404
351	4379.185647
352	4378.102361
353	4376.81765
354	4375.650071
355	4374.105738
356	4373.139928
357	4371.974765
358	4370.540699
359	4369.862645
360	4369.068563
361	4368.144262
362	4366.670523
363	4365.452565
364	4364.494091
365	4362.581062
366	4361.852382
367	4360.880673
368	4360.220623
369	4359.026761
370	4358.345544
371	4357.563664
372	4356.630987
373	4355.729308
374	4355.007869
375	4353.984477
376	4353.286977
377	4352.261077
378	4351.598945
379	4350.463175
380	4349.06575
381	4347.551012
382	4346.479025
383	4344.998921
384	4344.111658
385	4343.145786
386	4342.358957
387	4341.699008
388	4341.015399
389	4339.891749
390	4338.866352
391	4337.951008
392	4337.519247
393	4336.855262
394	4336.34356
395	4335.390613
396	4334.573753
397	4333.688301
398	4332.752706
399	4332.037308
400	4331.084737
401	4330.002144
402	4329.168746
403	4328.228351
404	4327.393451
405	4326.532803
406	4325.798148
407	4325.207089
408	4324.724685
409	4324.187795
410	4323.232626
411	4322.452665
412	4321.726055
413	4320.964763
414	4320.223011
415	4319.4116
416	4318.769381
417	4318.063288
418	4317.37563
419	4316.850563
420	4316.479728
421	4315.694708
422	4315.237965
423	4314.277731
424	4313.517359
425	4312.939255
426	4311.519389
427	4311.156502
428	4310.382195
429	4309.793548
430	4309.103569
431	4308.681326
432	4308.010945
433	4307.580359
434	4307.15398
435	4306.424481
436	4305.686192
437	4305.04228
438	4303.550551
439	4302.555134
440	4302.210022
441	4301.447215
442	4300.980468
443	4300.397133
444	4299.613658
445	4298.95173
446	4298.393377
447	4297.779944
448	4297.158342
449	4296.703241
450	4295.995525
451	4295.184891
452	4294.601088
453	4294.049148
454	4293.56448
455	4292.915266
456	4292.235023
457	4291.945728
458	4291.618642
459	4291.273098
460	4290.836446
461	4289.320819
462	4288.435888
463	4287.833054
464	4287.362453
465	4287.06147
466	4285.635612
467	4284.546949
468	4283.99138
469	4283.698676
470	4282.977474
471	4282.064113
472	4281.221402
473	4280.756424
474	4280.167745
475	4279.558324
476	4278.793482
477	4277.952886
478	4277.12046
479	4276.787552
480	4276.026252
481	4275.631559
482	4275.319631
483	4274.320183
484	4273.698105
485	4273.396231
486	4273.128872
487	4272.949417
488	4272.396096
489	4271.96548
490	4271.297775
491	4270.601222
492	4269.992634
493	4269.15863
494	4268.685118
495	4267.959187
496	4267.170126
497	4266.126502
498	4264.984681
499	4264.293096
500	4263.867662
501	4263.23524
502	4262.706777
503	4262.216101
504	4261.786878
505	4261.139715
506	4260.71918
507	4260.279936
508	4259.462941
509	4258.703562
510	4258.443718
511	4257.962907
512	4257.144261
513	4256.603109
514	4256.316578
515	4255.638365
516	4255.262874
517	4254.909839
518	4254.000505
519	4253.610652
520	4252.746668
521	4252.065605
522	4251.34329
523	4250.904442
524	4250.341484
525	4249.912403
526	4248.786577
527	4248.040494
528	4247.014714
529	4246.60137
530	4245.669045
531	4245.091457
532	4244.877559
533	4244.19054
534	4243.188391
535	4242.656273
536	4242.265934
537	4241.207418
538	4240.546599
539	4240.092162
540	4239.339711
541	4238.339564
542	4238.163374
543	4237.844685
544	4237.567592
545	4237.102633
546	4236.789177
547	4236.533091
548	4236.291648
549	4235.763107
550	4234.979198
551	4234.090146
552	4233.431031
553	4232.948089
554	4232.594151
555	4232.372676
556	4231.808049
557	4230.783962
558	4230.457763
559	4230.164554
560	4229.842199
561	4229.393423
562	4228.638046
563	4227.840868
564	4227.472213
565	4226.876576
566	4226.348571
567	4225.713965
568	4225.444339
569	4224.900106
570	4224.15674
571	4223.583834
572	4222.98591
573	4221.763394
574	4220.739757
575	4219.856156
576	4219.330966
577	4218.929509
578	4218.585975
579	4217.58679
580	4217.24406
581	4216.607215
582	4216.133938
583	4215.51725
584	4214.826505
585	4214.560716
586	4213.966812
587	4213.55218
588	4212.95719
589	4212.243099
590	4211.076702
591	4210.716731
592	4210.392613
593	4210.079951
594	4209.675383
595	4209.117289
596	4208.315939
597	4207.820112
598	4206.677084
599	4205.939598
600	4205.206569
601	4204.873518
602	4204.284848
603	4203.692192
604	4203.251704
